t_recv_s,marker_finger_x,marker_finger_y,marker_finger_z,marker_finger_detected,marker_wrist_x,marker_wrist_y,marker_wrist_z,marker_wrist_detected
0.03371,0.113505,-0.104213,0.097863,1,0.075650,-0.063207,0.132393,1
0.06558,0.113776,-0.104868,0.097982,1,0.076034,-0.063374,0.132479,1
0.09779,0.113620,-0.103953,0.097870,1,0.075789,-0.063129,0.132458,1
0.13343,0.113622,-0.104277,0.097889,1,0.075784,-0.063103,0.132390,1
0.16538,0.113699,-0.104724,0.098037,1,0.075978,-0.063490,0.132522,1
0.19764,0.113684,-0.104998,0.098068,1,0.075869,-0.063456,0.132499,1
0.23377,0.113621,-0.104268,0.097999,1,0.075839,-0.063360,0.132509,1
0.26542,0.113626,-0.104062,0.097876,1,0.075824,-0.063188,0.132415,1
0.29761,0.113647,-0.104399,0.097935,1,0.075873,-0.063120,0.132404,1
0.33360,0.113759,-0.104850,0.098077,1,0.076031,-0.063519,0.132543,1
0.36539,0.113798,-0.104340,0.097872,1,0.076068,-0.063096,0.132403,1
0.39738,0.113579,-0.104017,0.097806,1,0.075747,-0.063158,0.132379,1
0.43340,0.113797,-0.104316,0.097841,1,0.076075,-0.063421,0.132490,1
0.46540,0.113763,-0.104757,0.098041,1,0.075986,-0.063122,0.132480,1
0.49766,0.113872,-0.104330,0.098040,1,0.076055,-0.062570,0.132427,1
0.53371,0.113840,-0.103834,0.097501,1,0.076042,-0.062903,0.132096,1
0.56559,0.113621,-0.104713,0.097793,1,0.075916,-0.064379,0.132554,1
0.59762,0.113873,-0.105317,0.098566,1,0.076125,-0.063003,0.132903,1
0.63356,0.113983,-0.102529,0.097282,1,0.076040,-0.061000,0.131785,1
0.66559,0.113695,-0.104280,0.097195,1,0.076011,-0.064341,0.132181,1
0.69738,0.113775,-0.106366,0.098777,1,0.076192,-0.064617,0.133203,1
0.73356,0.113785,-0.103536,0.097951,1,0.075794,-0.060940,0.132145,1
0.76581,0.113627,-0.103042,0.096944,1,0.075731,-0.062914,0.131775,1
0.79756,0.113748,-0.105612,0.098175,1,0.076185,-0.065076,0.132957,1
0.82977,0.113965,-0.104574,0.098424,1,0.076171,-0.062342,0.132729,1
0.86555,0.113707,-0.102553,0.097069,1,0.075706,-0.061416,0.131625,1
0.89761,0.113572,-0.105047,0.097674,1,0.075876,-0.064475,0.132493,1
0.93376,0.113875,-0.105353,0.098621,1,0.076215,-0.063589,0.133026,1
0.96567,0.113722,-0.102920,0.097475,1,0.075703,-0.061112,0.131843,1
0.99775,0.113660,-0.104273,0.097295,1,0.075922,-0.063685,0.132115,1
1.03347,0.113605,-0.105836,0.098606,1,0.075913,-0.064031,0.132980,1
1.06571,0.113895,-0.103623,0.097877,1,0.075960,-0.061222,0.132163,1
1.09764,0.113746,-0.103395,0.097170,1,0.075922,-0.062776,0.131913,1
1.13380,0.113697,-0.105521,0.098261,1,0.076078,-0.064551,0.132883,1
1.16544,0.113886,-0.104424,0.098260,1,0.076081,-0.062367,0.132547,1
1.19798,0.113839,-0.103580,0.097381,1,0.075983,-0.062387,0.131943,1
1.23422,0.113649,-0.104853,0.097858,1,0.075929,-0.064506,0.132605,1
1.26548,0.113873,-0.104765,0.098322,1,0.076131,-0.063080,0.132779,1
1.29920,0.113775,-0.103680,0.097571,1,0.075891,-0.061961,0.132002,1
1.33503,0.113620,-0.104354,0.097658,1,0.075871,-0.063730,0.132339,1
1.36996,0.113844,-0.105264,0.098317,1,0.076161,-0.063593,0.132825,1
1.40810,0.113935,-0.103691,0.097768,1,0.076082,-0.061798,0.132190,1
1.43780,0.113562,-0.103588,0.097378,1,0.075755,-0.063312,0.132127,1
1.46651,0.113695,-0.105344,0.098218,1,0.076023,-0.064148,0.132764,1
1.49850,0.113870,-0.103744,0.097902,1,0.076030,-0.062059,0.132357,1
1.53476,0.113717,-0.103624,0.097452,1,0.075891,-0.062864,0.132104,1
1.56648,0.113711,-0.105165,0.098030,1,0.075982,-0.063855,0.132541,1
1.59856,0.113841,-0.104612,0.098171,1,0.076068,-0.062773,0.132574,1
1.63829,0.113747,-0.103389,0.097541,1,0.075926,-0.062588,0.132171,1
1.67111,0.113716,-0.104621,0.097813,1,0.075973,-0.063573,0.132393,1
1.70576,0.113743,-0.105124,0.098255,1,0.075991,-0.063448,0.132654,1
1.74335,0.113746,-0.103760,0.097805,1,0.075883,-0.062448,0.132264,1
1.77980,0.113759,-0.104466,0.097702,1,0.076008,-0.063167,0.132251,1
1.81904,0.113759,-0.105006,0.098158,1,0.076036,-0.063605,0.132682,1
1.85536,0.113856,-0.103983,0.097869,1,0.076020,-0.062041,0.132271,1
1.89864,0.113692,-0.105064,0.098058,1,0.075946,-0.063798,0.132578,1
1.93823,0.113832,-0.104294,0.098046,1,0.075981,-0.062110,0.132375,1
1.96650,0.113746,-0.104140,0.097719,1,0.075909,-0.062486,0.132138,1
2.00269,0.113666,-0.104817,0.097888,1,0.076037,-0.064322,0.132575,1
2.03551,0.113761,-0.104854,0.098268,1,0.075976,-0.062982,0.132634,1
2.06830,0.113821,-0.103638,0.097675,1,0.075946,-0.061851,0.132126,1
2.09857,0.113622,-0.104382,0.097737,1,0.075849,-0.063444,0.132352,1
2.13452,0.113695,-0.104930,0.098204,1,0.075925,-0.063680,0.132684,1
2.16565,0.113679,-0.104089,0.097969,1,0.075770,-0.061821,0.132211,1
2.19762,0.113711,-0.103773,0.097555,1,0.075911,-0.062903,0.132167,1
2.23362,0.113633,-0.104741,0.098050,1,0.075884,-0.063641,0.132620,1
2.26565,0.113800,-0.104505,0.098119,1,0.075945,-0.062362,0.132409,1
2.29762,0.113787,-0.103871,0.097599,1,0.075944,-0.062340,0.132086,1
2.33362,0.113679,-0.104642,0.097858,1,0.075916,-0.063261,0.132395,1
2.36565,0.113738,-0.104689,0.098130,1,0.075985,-0.062862,0.132553,1
2.39752,0.113702,-0.103976,0.097780,1,0.075863,-0.062709,0.132261,1
2.43354,0.113621,-0.104881,0.097931,1,0.075859,-0.063596,0.132405,1
2.46558,0.113650,-0.104820,0.098151,1,0.075861,-0.063051,0.132538,1
2.49756,0.113812,-0.104241,0.097953,1,0.075985,-0.062271,0.132275,1
2.53355,0.113664,-0.104228,0.097742,1,0.075822,-0.062522,0.132153,1
2.56559,0.113708,-0.104639,0.098031,1,0.075921,-0.063385,0.132572,1
2.59751,0.113770,-0.104286,0.098062,1,0.075938,-0.062449,0.132428,1
2.63350,0.113640,-0.103865,0.097690,1,0.075801,-0.062797,0.132198,1
2.66564,0.113720,-0.104665,0.097885,1,0.076015,-0.063834,0.132520,1
2.69754,0.113858,-0.104776,0.098119,1,0.076093,-0.062832,0.132478,1
2.73356,0.113640,-0.103827,0.097739,1,0.075756,-0.062379,0.132192,1
2.76559,0.113747,-0.104274,0.097731,1,0.075989,-0.063230,0.132336,1
2.79758,0.113759,-0.104877,0.098112,1,0.075993,-0.062954,0.132508,1
2.83348,0.113825,-0.104606,0.098000,1,0.076002,-0.062330,0.132274,1
2.86552,0.113692,-0.104320,0.097765,1,0.075872,-0.062740,0.132227,1
2.89760,0.113722,-0.104253,0.097865,1,0.075970,-0.063307,0.132505,1
2.93352,0.113737,-0.104221,0.097948,1,0.075903,-0.062433,0.132351,1
2.96555,0.113602,-0.104147,0.097855,1,0.075770,-0.062817,0.132275,1
2.99748,0.113680,-0.104579,0.097944,1,0.075975,-0.063541,0.132505,1
3.03339,0.113843,-0.104742,0.098074,1,0.076060,-0.062495,0.132390,1
3.06543,0.113694,-0.103963,0.097780,1,0.075872,-0.062450,0.132219,1
3.09750,0.113713,-0.104875,0.097944,1,0.075973,-0.063518,0.132407,1
3.13332,0.113687,-0.104237,0.097912,1,0.075906,-0.063064,0.132438,1
3.16545,0.113736,-0.104328,0.097943,1,0.075956,-0.062838,0.132398,1
3.19740,0.113816,-0.104286,0.097747,1,0.076054,-0.062729,0.132270,1
3.23340,0.113706,-0.104676,0.098042,1,0.075911,-0.062988,0.132470,1
3.26553,0.113680,-0.104489,0.098044,1,0.075866,-0.062851,0.132453,1
3.29740,0.113754,-0.104359,0.097824,1,0.075948,-0.062421,0.132218,1
3.33335,0.113663,-0.104272,0.097843,1,0.075903,-0.063229,0.132378,1
3.36560,0.113836,-0.104845,0.098086,1,0.076058,-0.062807,0.132423,1
3.39736,0.113828,-0.104276,0.097840,1,0.076036,-0.062735,0.132339,1
3.43340,0.113698,-0.104216,0.097809,1,0.075879,-0.062929,0.132325,1
3.46542,0.113817,-0.104431,0.097897,1,0.076063,-0.063064,0.132405,1
