t_s,qpos_shoulder_pan,qpos_shoulder_lift,qpos_elbow_flex,qpos_wrist_flex,qpos_wrist_roll,qpos_gripper
0.00000,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.02003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.04003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.06003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.08003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.10002,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.12003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.14003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.16003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.18003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.20004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.22003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.24003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.26003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.28003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.30003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.32004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.34003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.36003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.38003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.40003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.42003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.44003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.46003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.48003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.50005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.52005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.54004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.56004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.58003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.60004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.62004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.64003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.66004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.68003,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.70004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.72004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.74004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.76004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.78004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.80004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.82004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.84004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.86004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.88004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.90005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.92005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.94006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.96005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
0.98005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.00004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.02004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.04005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.06005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.08005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.10004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.12004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.14004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.16004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.18005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.20024,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.22004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.24004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.26004,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.28006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.30005,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.32113,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.34126,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.36007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.38007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.40075,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.42007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.44025,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.46126,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.48033,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.50006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.52159,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.54313,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.56007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.58007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.60007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.62126,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.64284,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.66007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.68007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.70244,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.72199,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.74126,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.76007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.78083,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.80383,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.82006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.84176,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.86007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.88006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.90384,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.92186,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.94006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.96284,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
1.98007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.00303,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.02030,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.04006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.06006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.08084,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.10105,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
2.12007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
