step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
1,0.0667,0.000000,-1.400000,1.200018,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
2,0.1333,0.000000,-1.400000,1.200143,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
3,0.2000,0.000000,-1.400000,1.200484,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
4,0.2667,0.000000,-1.400000,1.201142,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
5,0.3333,0.000000,-1.400000,1.202202,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
6,0.4000,0.000000,-1.400000,1.203712,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
7,0.4667,0.000000,-1.400000,1.205677,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
8,0.5333,0.000000,-1.400000,1.208043,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
9,0.6000,0.000000,-1.400000,1.210683,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
10,0.6667,0.000000,-1.400000,1.213395,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
11,0.7333,0.000000,-1.400000,1.215899,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
12,0.8000,0.000000,-1.400000,1.217844,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
13,0.8667,0.000000,-1.400000,1.218831,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
14,0.9333,0.000000,-1.400000,1.218439,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
15,1.0000,0.000000,-1.400000,1.216272,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
16,1.0667,0.000000,-1.400000,1.212008,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
17,1.1333,0.000000,-1.400000,1.205460,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
18,1.2000,0.000000,-1.400000,1.196637,0.000000,0.000000,0.500000,0.012809,-1.394495,1.221835,0.008481,0.002973,0.502428
19,1.2667,0.000000,-1.400000,1.185800,0.000000,0.000000,0.500000,0.012809,-1.394495,1.218765,0.008481,0.002973,0.502428
20,1.3333,0.000000,-1.400000,1.173504,0.000000,0.000000,0.500000,0.012809,-1.394495,1.208020,0.008481,0.002973,0.502428
21,1.4000,0.000000,-1.400000,1.160611,0.000000,0.000000,0.500000,0.012809,-1.394495,1.195740,0.008481,0.002973,0.502428
22,1.4667,0.000000,-1.400000,1.148273,0.000000,0.000000,0.500000,0.012809,-1.394495,1.183460,0.008481,0.002973,0.502428
23,1.5333,0.000000,-1.400000,1.137872,0.000000,0.000000,0.500000,0.012809,-1.394495,1.171181,0.008481,0.002973,0.502428
24,1.6000,0.000000,-1.400000,1.130907,0.000000,0.000000,0.500000,0.012809,-1.394495,1.158901,0.008481,0.002973,0.502428
25,1.6667,0.000000,-1.400000,1.128843,0.000000,0.000000,0.500000,0.012809,-1.394495,1.151226,0.008481,0.002973,0.502428
26,1.7333,0.000000,-1.400000,1.132915,0.000000,0.000000,0.500000,0.012809,-1.395969,1.148156,0.008481,0.002973,0.502428
27,1.8000,0.000000,-1.400000,1.143916,0.000000,0.000000,0.500000,0.012809,-1.395969,1.148156,0.008481,0.002973,0.502428
28,1.8667,0.000000,-1.400000,1.161986,0.000000,0.000000,0.500000,0.012809,-1.395969,1.148156,0.008481,0.002973,0.502428
29,1.9333,0.000000,-1.400000,1.186434,0.000000,0.000000,0.500000,0.012809,-1.395969,1.160436,0.008481,0.002973,0.502428
30,2.0000,0.000000,-1.400000,1.215643,0.000000,0.000000,0.500000,0.012809,-1.395969,1.178856,0.008481,0.002973,0.502428
31,2.0667,0.000000,-1.400000,1.247070,0.000000,0.000000,0.500000,0.012809,-1.395969,1.200345,0.008481,0.002973,0.502428
32,2.1333,0.000000,-1.400000,1.277390,0.000000,0.000000,0.500000,0.012809,-1.395969,1.224905,0.008481,0.002973,0.502428
33,2.2000,0.000000,-1.400000,1.302791,0.000000,0.000000,0.500000,0.012809,-1.395969,1.249464,0.008481,0.002973,0.502428
34,2.2667,0.000000,-1.400000,1.319408,0.000000,0.000000,0.500000,0.012809,-1.395969,1.275559,0.008481,0.002973,0.502428
35,2.3333,0.000000,-1.400000,1.323873,0.000000,0.000000,0.500000,0.012809,-1.395969,1.298583,0.008481,0.002973,0.502428
36,2.4000,0.000000,-1.400000,1.313909,0.000000,0.000000,0.500000,0.012809,-1.395969,1.313933,0.008481,0.002973,0.502428
37,2.4667,0.000000,-1.400000,1.288884,0.000000,0.000000,0.500000,0.012809,-1.395969,1.323143,0.008481,0.002973,0.502428
38,2.5333,0.000000,-1.400000,1.250230,0.000000,0.000000,0.500000,0.012809,-1.395969,1.323143,0.008481,0.002973,0.502428
39,2.6000,0.000000,-1.400000,1.201599,0.000000,0.000000,0.500000,0.012809,-1.395969,1.321608,0.008481,0.002973,0.502428
40,2.6667,0.000000,-1.400000,1.148697,0.000000,0.000000,0.500000,0.012809,-1.394495,1.298583,0.008481,0.002973,0.502428
41,2.7333,0.000000,-1.400000,1.098724,0.000000,0.000000,0.500000,0.012809,-1.394495,1.269419,0.008481,0.002973,0.502428
42,2.8000,0.000000,-1.400000,1.059444,0.000000,0.000000,0.500000,0.012809,-1.394495,1.232579,0.008481,0.002973,0.502428
43,2.8667,0.000000,-1.400000,1.037981,0.000000,0.000000,0.500000,0.012809,-1.394495,1.191135,0.008481,0.002973,0.502428
44,2.9333,0.000000,-1.400000,1.039489,0.000000,0.000000,0.500000,0.012809,-1.394495,1.149691,0.008481,0.002973,0.502428
45,3.0000,0.000000,-1.400000,1.065938,0.000000,0.000000,0.500000,0.012809,-1.395969,1.115922,0.008481,0.002973,0.502428
46,3.0667,0.000000,-1.400000,1.115278,0.000000,0.000000,0.500000,0.012809,-1.395969,1.089827,0.008481,0.002973,0.502428
47,3.1333,0.000000,-1.400000,1.181208,0.000000,0.000000,0.500000,0.012809,-1.395969,1.071408,0.008481,0.002973,0.502428
48,3.2000,0.000000,-1.400000,1.253735,0.000000,0.000000,0.500000,0.012809,-1.397443,1.059128,0.008481,0.002973,0.502428
49,3.2667,0.000000,-1.400000,1.320555,0.000000,0.000000,0.500000,0.012809,-1.403339,1.057593,0.008481,0.002973,0.502428
50,3.3333,0.000000,-1.400000,1.369119,0.000000,0.000000,0.500000,0.012809,-1.406287,1.062198,0.008481,0.002973,0.502428
51,3.4000,0.000000,-1.400000,1.389089,0.000000,0.000000,0.500000,0.012809,-1.406287,1.082153,0.008481,0.002973,0.502428
52,3.4667,0.000000,-1.400000,1.374702,0.000000,0.000000,0.500000,0.012809,-1.406287,1.109782,0.008481,0.002973,0.502428
53,3.5333,0.000000,-1.400000,1.326523,0.000000,0.000000,0.500000,0.012809,-1.406287,1.145086,0.008481,0.002973,0.502428
54,3.6000,0.000000,-1.400000,1.252074,0.000000,0.000000,0.500000,0.012809,-1.400391,1.186530,0.008481,0.002973,0.502428
55,3.6667,0.000000,-1.400000,1.165018,0.000000,0.000000,0.500000,0.012809,-1.394495,1.226440,0.008481,0.002973,0.502428
56,3.7333,0.000000,-1.400000,1.082835,0.000000,0.000000,0.500000,0.012809,-1.394495,1.257139,0.008481,0.002973,0.502428
57,3.8000,0.000000,-1.400000,1.023323,0.000000,0.000000,0.500000,0.012809,-1.394495,1.281698,0.008481,0.002973,0.502428
58,3.8667,0.000000,-1.400000,1.000556,0.000000,0.000000,0.500000,0.012809,-1.394495,1.297048,0.008481,0.002973,0.502428
59,3.9333,0.000000,-1.400000,1.021245,0.000000,0.000000,0.500000,0.012809,-1.394495,1.304723,0.008481,0.002973,0.502428
60,4.0000,0.000000,-1.400000,1.082443,0.000000,0.000000,0.500000,0.012809,-1.394495,1.304723,0.008481,0.002973,0.502428
61,4.0667,0.000000,-1.400000,1.171390,0.000000,0.000000,0.500000,0.012809,-1.394495,1.301653,0.008481,0.002973,0.502428
62,4.1333,0.000000,-1.400000,1.267824,0.000000,0.000000,0.500000,0.012809,-1.394495,1.278629,0.008481,0.002973,0.502428
63,4.2000,0.000000,-1.400000,1.348478,0.000000,0.000000,0.500000,0.012809,-1.394495,1.254069,0.008481,0.002973,0.502428
64,4.2667,0.000000,-1.400000,1.392838,0.000000,0.000000,0.500000,0.012809,-1.394495,1.238719,0.008481,0.002973,0.502428
65,4.3333,0.000000,-1.400000,1.388739,0.000000,0.000000,0.500000,0.012809,-1.394495,1.229510,0.008481,0.002973,0.502428
66,4.4000,0.000000,-1.400000,1.336216,0.000000,0.000000,0.500000,0.012809,-1.394495,1.229510,0.008481,0.002973,0.502428
67,4.4667,0.000000,-1.400000,1.248315,0.000000,0.000000,0.500000,0.012809,-1.397443,1.237184,0.008481,0.002973,0.502428
68,4.5333,0.000000,-1.400000,1.148284,0.000000,0.000000,0.500000,0.012809,-1.394495,1.257139,0.008481,0.002973,0.502428
69,4.6000,0.000000,-1.400000,1.063583,0.000000,0.000000,0.500000,0.012809,-1.395969,1.269419,0.008481,0.002973,0.502428
70,4.6667,0.000000,-1.400000,1.018180,0.000000,0.000000,0.500000,0.012809,-1.394495,1.272489,0.008481,0.002973,0.502428
71,4.7333,0.000000,-1.400000,1.025301,0.000000,0.000000,0.500000,0.012809,-1.394495,1.272489,0.008481,0.002973,0.502428
72,4.8000,0.000000,-1.400000,1.082946,0.000000,0.000000,0.500000,0.012809,-1.394495,1.260209,0.008481,0.002973,0.502428
73,4.8667,0.000000,-1.400000,1.173824,0.000000,0.000000,0.500000,0.012809,-1.394495,1.234114,0.008481,0.002973,0.502428
74,4.9333,0.000000,-1.400000,1.270121,0.000000,0.000000,0.500000,0.012809,-1.394495,1.206485,0.008481,0.002973,0.502428
75,5.0000,0.000000,-1.400000,1.341941,0.000000,0.000000,0.500000,0.012809,-1.394495,1.183460,0.008481,0.002973,0.502428
76,5.0667,0.000000,-1.400000,1.366893,0.000000,0.000000,0.500000,0.012809,-1.394495,1.168111,0.008481,0.002973,0.502428
77,5.1333,0.000000,-1.400000,1.337675,0.000000,0.000000,0.500000,0.012809,-1.395969,1.163506,0.008481,0.002973,0.502428
78,5.2000,0.000000,-1.400000,1.264885,0.000000,0.000000,0.500000,0.012809,-1.395969,1.163506,0.008481,0.002973,0.502428
79,5.2667,0.000000,-1.400000,1.173788,0.000000,0.000000,0.500000,0.012809,-1.400391,1.177321,0.008481,0.002973,0.502428
80,5.3333,0.000000,-1.400000,1.095801,0.000000,0.000000,0.500000,0.012809,-1.395969,1.195740,0.008481,0.002973,0.502428
81,5.4000,0.000000,-1.400000,1.057485,0.000000,0.000000,0.500000,0.012809,-1.394495,1.206485,0.008481,0.002973,0.502428
82,5.4667,0.000000,-1.400000,1.070974,0.000000,0.000000,0.500000,0.012809,-1.397443,1.211090,0.008481,0.002973,0.502428
83,5.5333,0.000000,-1.400000,1.129491,0.000000,0.000000,0.500000,0.012809,-1.394495,1.211090,0.008481,0.002973,0.502428
84,5.6000,0.000000,-1.400000,1.209860,0.000000,0.000000,0.500000,0.012809,-1.394495,1.197275,0.008481,0.002973,0.502428
85,5.6667,0.000000,-1.400000,1.281335,0.000000,0.000000,0.500000,0.012809,-1.394495,1.180391,0.008481,0.002973,0.502428
86,5.7333,0.000000,-1.400000,1.317464,0.000000,0.000000,0.500000,0.012809,-1.394495,1.172716,0.008481,0.002973,0.502428
87,5.8000,0.000000,-1.400000,1.306348,0.000000,0.000000,0.500000,0.012809,-1.394495,1.172716,0.008481,0.002973,0.502428
88,5.8667,0.000000,-1.400000,1.255093,0.000000,0.000000,0.500000,0.012809,-1.397443,1.183460,0.008481,0.002973,0.502428
89,5.9333,0.000000,-1.400000,1.186501,0.000000,0.000000,0.500000,0.012809,-1.395969,1.204950,0.008481,0.002973,0.502428
90,6.0000,0.000000,-1.400000,1.129289,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.008481,0.002973,0.502428
91,6.0667,0.000000,-1.400000,1.105946,0.000000,0.000000,0.500000,0.012809,-1.395969,1.231045,0.008481,0.002973,0.502428
92,6.1333,0.000000,-1.400000,1.123469,0.000000,0.000000,0.500000,0.012809,-1.395969,1.232579,0.008481,0.002973,0.502428
93,6.2000,0.000000,-1.400000,1.171052,0.000000,0.000000,0.500000,0.012809,-1.395969,1.232579,0.008481,0.002973,0.502428
94,6.2667,0.000000,-1.400000,1.225683,0.000000,0.000000,0.500000,0.012809,-1.394495,1.218765,0.008481,0.002973,0.502428
95,6.3333,0.000000,-1.400000,1.263026,0.000000,0.000000,0.500000,0.012809,-1.398917,1.203415,0.008481,0.002973,0.502428
96,6.4000,0.000000,-1.400000,1.268439,0.000000,0.000000,0.500000,0.012809,-1.395969,1.198810,0.008481,0.002973,0.502428
97,6.4667,0.000000,-1.400000,1.242992,0.000000,0.000000,0.500000,0.012809,-1.395969,1.198810,0.008481,0.002973,0.502428
98,6.5333,0.000000,-1.400000,1.201781,0.000000,0.000000,0.500000,0.012809,-1.397443,1.214160,0.008481,0.002973,0.502428
99,6.6000,0.000000,-1.400000,1.165661,0.000000,0.000000,0.500000,0.012809,-1.394495,1.224905,0.008481,0.002973,0.502428
100,6.6667,0.000000,-1.400000,1.150760,0.000000,0.000000,0.500000,0.012809,-1.397443,1.227975,0.008481,0.002973,0.502428
