step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
1,0.0667,0.000000,-1.399982,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
2,0.1333,0.000000,-1.399857,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
3,0.2000,0.000000,-1.399516,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
4,0.2667,0.000000,-1.398858,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
5,0.3333,0.000000,-1.397798,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
6,0.4000,0.000000,-1.396288,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
7,0.4667,0.000000,-1.394323,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
8,0.5333,0.000000,-1.391957,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
9,0.6000,0.000000,-1.389317,1.200000,0.000000,0.000000,0.500000,0.012809,-1.394495,1.223370,0.005654,0.002973,0.502428
10,0.6667,0.000000,-1.386605,1.200000,0.000000,0.000000,0.500000,0.012809,-1.393020,1.223370,0.005654,0.002973,0.502428
11,0.7333,0.000000,-1.384101,1.200000,0.000000,0.000000,0.500000,0.012809,-1.388598,1.223370,0.005654,0.002973,0.502428
12,0.8000,0.000000,-1.382156,1.200000,0.000000,0.000000,0.500000,0.012809,-1.388598,1.223370,0.005654,0.002973,0.502428
13,0.8667,0.000000,-1.381169,1.200000,0.000000,0.000000,0.500000,0.012809,-1.388598,1.223370,0.005654,0.002973,0.502428
14,0.9333,0.000000,-1.381561,1.200000,0.000000,0.000000,0.500000,0.012809,-1.384176,1.223370,0.005654,0.002973,0.502428
15,1.0000,0.000000,-1.383728,1.200000,0.000000,0.000000,0.500000,0.012809,-1.384176,1.223370,0.005654,0.002973,0.502428
16,1.0667,0.000000,-1.387992,1.200000,0.000000,0.000000,0.500000,0.012809,-1.384176,1.223370,0.005654,0.002973,0.502428
17,1.1333,0.000000,-1.394540,1.200000,0.000000,0.000000,0.500000,0.012809,-1.384176,1.223370,0.005654,0.002973,0.502428
18,1.2000,0.000000,-1.403363,1.200000,0.000000,0.000000,0.500000,0.012809,-1.391546,1.223370,0.005654,0.002973,0.502428
19,1.2667,0.000000,-1.414200,1.200000,0.000000,0.000000,0.500000,0.012809,-1.398917,1.223370,0.005654,0.002973,0.502428
20,1.3333,0.000000,-1.426496,1.200000,0.000000,0.000000,0.500000,0.012809,-1.407761,1.223370,0.005654,0.002973,0.502428
21,1.4000,0.000000,-1.439389,1.200000,0.000000,0.000000,0.500000,0.012809,-1.418080,1.223370,0.005654,0.002973,0.502428
22,1.4667,0.000000,-1.451727,1.200000,0.000000,0.000000,0.500000,0.012809,-1.429873,1.223370,0.005654,0.002973,0.502428
23,1.5333,0.000000,-1.462128,1.200000,0.000000,0.000000,0.500000,0.012809,-1.441666,1.223370,0.005654,0.002973,0.502428
24,1.6000,0.000000,-1.469093,1.200000,0.000000,0.000000,0.500000,0.012809,-1.453458,1.223370,0.005654,0.002973,0.502428
25,1.6667,0.000000,-1.471157,1.200000,0.000000,0.000000,0.500000,0.012809,-1.462303,1.223370,0.005654,0.002973,0.502428
26,1.7333,0.000000,-1.467085,1.200000,0.000000,0.000000,0.500000,0.012809,-1.466725,1.223370,0.005654,0.002973,0.502428
27,1.8000,0.000000,-1.456084,1.200000,0.000000,0.000000,0.500000,0.012809,-1.466725,1.223370,0.005654,0.002973,0.502428
28,1.8667,0.000000,-1.438014,1.200000,0.000000,0.000000,0.500000,0.012809,-1.465251,1.223370,0.005654,0.002973,0.502428
29,1.9333,0.000000,-1.413566,1.200000,0.000000,0.000000,0.500000,0.012809,-1.451984,1.221835,0.005654,0.002973,0.502428
30,2.0000,0.000000,-1.384357,1.200000,0.000000,0.000000,0.500000,0.012809,-1.425451,1.221835,0.005654,0.002973,0.502428
31,2.0667,0.000000,-1.352930,1.200000,0.000000,0.000000,0.500000,0.012809,-1.413658,1.221835,0.005654,0.002973,0.502428
32,2.1333,0.000000,-1.322610,1.200000,0.000000,0.000000,0.500000,0.012809,-1.391546,1.221835,0.005654,0.002973,0.502428
33,2.2000,0.000000,-1.297209,1.200000,0.000000,0.000000,0.500000,0.012809,-1.359116,1.220300,0.005654,0.002973,0.502428
34,2.2667,0.000000,-1.280592,1.200000,0.000000,0.000000,0.500000,0.014232,-1.345849,1.220300,0.005654,0.002973,0.502428
35,2.3333,0.000000,-1.276127,1.200000,0.000000,0.000000,0.500000,0.012809,-1.310471,1.220300,0.005654,0.002973,0.502428
36,2.4000,0.000000,-1.286091,1.200000,0.000000,0.000000,0.500000,0.014232,-1.294256,1.221835,0.005654,0.002973,0.502428
37,2.4667,0.000000,-1.311116,1.200000,0.000000,0.000000,0.500000,0.015655,-1.286886,1.220300,0.005654,0.002973,0.502428
38,2.5333,0.000000,-1.349770,1.200000,0.000000,0.000000,0.500000,0.014232,-1.278041,1.221835,0.005654,0.002973,0.502428
39,2.6000,0.000000,-1.398401,1.200000,0.000000,0.000000,0.500000,0.014232,-1.289834,1.220300,0.005654,0.002973,0.502428
40,2.6667,0.000000,-1.451303,1.200000,0.000000,0.000000,0.500000,0.014232,-1.307523,1.220300,0.005654,0.002973,0.502428
41,2.7333,0.000000,-1.501276,1.200000,0.000000,0.000000,0.500000,0.014232,-1.334057,1.220300,0.005654,0.002973,0.502428
42,2.8000,0.000000,-1.540556,1.200000,0.000000,0.000000,0.500000,0.014232,-1.366487,1.220300,0.005654,0.002973,0.502428
43,2.8667,0.000000,-1.562019,1.200000,0.000000,0.000000,0.500000,0.014232,-1.407761,1.220300,0.005654,0.002973,0.502428
44,2.9333,0.000000,-1.560511,1.200000,0.000000,0.000000,0.500000,0.014232,-1.447562,1.220300,0.005654,0.002973,0.502428
45,3.0000,0.000000,-1.534062,1.200000,0.000000,0.000000,0.500000,0.014232,-1.484414,1.220300,0.005654,0.002973,0.502428
46,3.0667,0.000000,-1.484722,1.200000,0.000000,0.000000,0.500000,0.014232,-1.515370,1.220300,0.005654,0.002973,0.502428
47,3.1333,0.000000,-1.418792,1.200000,0.000000,0.000000,0.500000,0.014232,-1.540430,1.220300,0.005654,0.002973,0.502428
48,3.2000,0.000000,-1.346265,1.200000,0.000000,0.000000,0.500000,0.014232,-1.550749,1.220300,0.005654,0.002973,0.502428
49,3.2667,0.000000,-1.279445,1.200000,0.000000,0.000000,0.500000,0.014232,-1.558119,1.220300,0.005654,0.002973,0.502428
50,3.3333,0.000000,-1.230881,1.200000,0.000000,0.000000,0.500000,0.014232,-1.556645,1.220300,0.005654,0.002973,0.502428
51,3.4000,0.000000,-1.210911,1.200000,0.000000,0.000000,0.500000,0.014232,-1.538956,1.220300,0.005654,0.002973,0.502428
52,3.4667,0.000000,-1.225298,1.200000,0.000000,0.000000,0.500000,0.014232,-1.516844,1.220300,0.005654,0.002973,0.502428
53,3.5333,0.000000,-1.273477,1.200000,0.000000,0.000000,0.500000,0.014232,-1.485888,1.220300,0.005654,0.002973,0.502428
54,3.6000,0.000000,-1.347926,1.200000,0.000000,0.000000,0.500000,0.014232,-1.450510,1.220300,0.005654,0.002973,0.502428
55,3.6667,0.000000,-1.434982,1.200000,0.000000,0.000000,0.500000,0.014232,-1.403339,1.220300,0.005654,0.002973,0.502428
56,3.7333,0.000000,-1.517165,1.200000,0.000000,0.000000,0.500000,0.014232,-1.376805,1.220300,0.005654,0.002973,0.502428
57,3.8000,0.000000,-1.576677,1.200000,0.000000,0.000000,0.500000,0.014232,-1.353220,1.220300,0.005654,0.002973,0.502428
58,3.8667,0.000000,-1.599444,1.200000,0.000000,0.000000,0.500000,0.014232,-1.331108,1.220300,0.005654,0.002973,0.502428
59,3.9333,0.000000,-1.578755,1.200000,0.000000,0.000000,0.500000,0.014232,-1.325212,1.220300,0.005654,0.002973,0.502428
60,4.0000,0.000000,-1.517557,1.200000,0.000000,0.000000,0.500000,0.014232,-1.316367,1.220300,0.005654,0.002973,0.502428
61,4.0667,0.000000,-1.428610,1.200000,0.000000,0.000000,0.500000,0.014232,-1.323738,1.220300,0.005654,0.002973,0.502428
62,4.1333,0.000000,-1.332176,1.200000,0.000000,0.000000,0.500000,0.014232,-1.342901,1.220300,0.005654,0.002973,0.502428
63,4.2000,0.000000,-1.251522,1.200000,0.000000,0.000000,0.500000,0.014232,-1.365013,1.220300,0.005654,0.002973,0.502428
64,4.2667,0.000000,-1.207162,1.200000,0.000000,0.000000,0.500000,0.014232,-1.381228,1.220300,0.005654,0.002973,0.502428
65,4.3333,0.000000,-1.211261,1.200000,0.000000,0.000000,0.500000,0.014232,-1.390072,1.220300,0.005654,0.002973,0.502428
66,4.4000,0.000000,-1.263784,1.200000,0.000000,0.000000,0.500000,0.014232,-1.388598,1.220300,0.005654,0.002973,0.502428
67,4.4667,0.000000,-1.351685,1.200000,0.000000,0.000000,0.500000,0.014232,-1.378279,1.220300,0.005654,0.002973,0.502428
68,4.5333,0.000000,-1.451716,1.200000,0.000000,0.000000,0.500000,0.014232,-1.353220,1.220300,0.005654,0.002973,0.502428
69,4.6000,0.000000,-1.536417,1.200000,0.000000,0.000000,0.500000,0.014232,-1.341427,1.220300,0.005654,0.002973,0.502428
70,4.6667,0.000000,-1.581820,1.200000,0.000000,0.000000,0.500000,0.012809,-1.331108,1.220300,0.005654,0.002973,0.502428
71,4.7333,0.000000,-1.574699,1.200000,0.000000,0.000000,0.500000,0.014232,-1.332583,1.220300,0.005654,0.002973,0.502428
72,4.8000,0.000000,-1.517054,1.200000,0.000000,0.000000,0.500000,0.014232,-1.345849,1.220300,0.005654,0.002973,0.502428
73,4.8667,0.000000,-1.426176,1.200000,0.000000,0.000000,0.500000,0.014232,-1.367961,1.220300,0.005654,0.002973,0.502428
74,4.9333,0.000000,-1.329879,1.200000,0.000000,0.000000,0.500000,0.014232,-1.394495,1.220300,0.005654,0.002973,0.502428
75,5.0000,0.000000,-1.258059,1.200000,0.000000,0.000000,0.500000,0.014232,-1.416606,1.220300,0.005654,0.002973,0.502428
76,5.0667,0.000000,-1.233107,1.200000,0.000000,0.000000,0.500000,0.014232,-1.432821,1.220300,0.005654,0.002973,0.502428
77,5.1333,0.000000,-1.262325,1.200000,0.000000,0.000000,0.500000,0.014232,-1.440191,1.220300,0.005654,0.002973,0.502428
78,5.2000,0.000000,-1.335115,1.200000,0.000000,0.000000,0.500000,0.014232,-1.437243,1.220300,0.005654,0.002973,0.502428
79,5.2667,0.000000,-1.426212,1.200000,0.000000,0.000000,0.500000,0.014232,-1.428399,1.220300,0.005654,0.002973,0.502428
80,5.3333,0.000000,-1.504199,1.200000,0.000000,0.000000,0.500000,0.014232,-1.406287,1.220300,0.005654,0.002973,0.502428
81,5.4000,0.000000,-1.542515,1.200000,0.000000,0.000000,0.500000,0.014232,-1.393020,1.220300,0.005654,0.002973,0.502428
82,5.4667,0.000000,-1.529026,1.200000,0.000000,0.000000,0.500000,0.014232,-1.397443,1.220300,0.005654,0.002973,0.502428
83,5.5333,0.000000,-1.470509,1.200000,0.000000,0.000000,0.500000,0.012809,-1.391546,1.220300,0.005654,0.002973,0.502428
84,5.6000,0.000000,-1.390140,1.200000,0.000000,0.000000,0.500000,0.014232,-1.410710,1.220300,0.005654,0.002973,0.502428
