step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
1,0.0667,0.000000,-1.400000,1.200000,0.000018,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
2,0.1333,0.000000,-1.400000,1.200000,0.000143,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
3,0.2000,0.000000,-1.400000,1.200000,0.000484,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
4,0.2667,0.000000,-1.400000,1.200000,0.001142,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
5,0.3333,0.000000,-1.400000,1.200000,0.002202,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
6,0.4000,0.000000,-1.400000,1.200000,0.003712,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
7,0.4667,0.000000,-1.400000,1.200000,0.005677,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
8,0.5333,0.000000,-1.400000,1.200000,0.008043,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
9,0.6000,0.000000,-1.400000,1.200000,0.010683,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.005654,0.002973,0.502428
10,0.6667,0.000000,-1.400000,1.200000,0.013395,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.009895,0.002973,0.502428
11,0.7333,0.000000,-1.400000,1.200000,0.015899,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.011308,0.002973,0.502428
12,0.8000,0.000000,-1.400000,1.200000,0.017844,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.014135,0.002973,0.502428
13,0.8667,0.000000,-1.400000,1.200000,0.018831,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.014135,0.002973,0.502428
14,0.9333,0.000000,-1.400000,1.200000,0.018439,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.014135,0.002973,0.502428
15,1.0000,0.000000,-1.400000,1.200000,0.016272,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.014135,0.002973,0.502428
16,1.0667,0.000000,-1.400000,1.200000,0.012008,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.014135,0.002973,0.502428
17,1.1333,0.000000,-1.400000,1.200000,0.005460,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.014135,0.002973,0.502428
18,1.2000,0.000000,-1.400000,1.200000,-0.003363,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.011308,0.002973,0.502428
19,1.2667,0.000000,-1.400000,1.200000,-0.014200,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.002827,0.002973,0.502428
20,1.3333,0.000000,-1.400000,1.200000,-0.026496,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.007068,0.002973,0.502428
21,1.4000,0.000000,-1.400000,1.200000,-0.039389,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.018376,0.002973,0.502428
22,1.4667,0.000000,-1.400000,1.200000,-0.051727,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.029684,0.002973,0.502428
23,1.5333,0.000000,-1.400000,1.200000,-0.062128,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.040992,0.002973,0.502428
24,1.6000,0.000000,-1.400000,1.200000,-0.069093,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.052300,0.002973,0.502428
25,1.6667,0.000000,-1.400000,1.200000,-0.071157,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.060782,0.002973,0.502428
26,1.7333,0.000000,-1.400000,1.200000,-0.067085,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.063609,0.002973,0.502428
27,1.8000,0.000000,-1.400000,1.200000,-0.056084,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.063609,0.002973,0.502428
28,1.8667,0.000000,-1.400000,1.200000,-0.038014,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.057954,0.002973,0.502428
29,1.9333,0.000000,-1.400000,1.200000,-0.013566,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.045233,0.002973,0.502428
30,2.0000,0.000000,-1.400000,1.200000,0.015643,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.028270,0.002973,0.502428
31,2.0667,0.000000,-1.400000,1.200000,0.047070,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.008481,0.002973,0.502428
32,2.1333,0.000000,-1.400000,1.200000,0.077390,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.015549,0.002973,0.502428
33,2.2000,0.000000,-1.400000,1.200000,0.102791,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.040992,0.002973,0.502428
34,2.2667,0.000000,-1.400000,1.200000,0.119408,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.066436,0.002973,0.502428
35,2.3333,0.000000,-1.400000,1.200000,0.123873,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.089052,0.002973,0.502428
36,2.4000,0.000000,-1.400000,1.200000,0.113909,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.107428,0.002973,0.502428
37,2.4667,0.000000,-1.400000,1.200000,0.088884,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.117322,0.002973,0.502428
38,2.5333,0.000000,-1.400000,1.200000,0.050230,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.120149,0.002973,0.502428
39,2.6000,0.000000,-1.400000,1.200000,0.001599,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.114495,0.002973,0.502428
40,2.6667,0.000000,-1.400000,1.200000,-0.051303,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.096120,0.002973,0.502428
41,2.7333,0.000000,-1.400000,1.200000,-0.101276,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.072090,0.002973,0.502428
42,2.8000,0.000000,-1.400000,1.200000,-0.140556,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.039579,0.002973,0.502428
43,2.8667,0.000000,-1.400000,1.200000,-0.162019,0.000000,0.500000,-0.004270,-1.395969,1.221835,0.002827,0.002973,0.502428
44,2.9333,0.000000,-1.400000,1.200000,-0.160511,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.039579,0.002973,0.502428
45,3.0000,0.000000,-1.400000,1.200000,-0.134062,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.074917,0.002973,0.502428
46,3.0667,0.000000,-1.400000,1.200000,-0.084722,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.104601,0.002973,0.502428
47,3.1333,0.000000,-1.400000,1.200000,-0.018792,0.000000,0.500000,-0.004270,-1.395969,1.221835,-0.127217,0.002973,0.502428
