step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
1,0.0667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
2,0.1333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
3,0.2000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
4,0.2667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
5,0.3333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
6,0.4000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
7,0.4667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
8,0.5333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
9,0.6000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
10,0.6667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
11,0.7333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
12,0.8000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
13,0.8667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
14,0.9333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
15,1.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
16,1.0667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
17,1.1333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
18,1.2000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
19,1.2667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
20,1.3333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
21,1.4000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.208020,-0.002827,-0.001449,0.501074
22,1.4667,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.209555,-0.002827,-0.001449,0.501074
23,1.5333,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.410710,1.247929,-0.004241,-0.001449,0.501074
24,1.6000,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.393020,1.304723,-0.004241,-0.001449,0.501074
25,1.6667,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.394495,1.358447,-0.004241,-0.001449,0.501074
26,1.7333,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.413706,-0.004241,-0.001449,0.501074
27,1.8000,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.468965,-0.004241,-0.001449,0.501074
28,1.8667,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.522688,-0.004241,-0.001449,0.501074
29,1.9333,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.574877,-0.004241,-0.001449,0.501074
30,2.0000,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.599437,-0.004241,-0.001449,0.501074
31,2.0667,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.599437,-0.004241,-0.001449,0.501074
32,2.1333,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
33,2.2000,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
34,2.2667,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
35,2.3333,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
36,2.4000,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
37,2.4667,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
38,2.5333,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
39,2.6000,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
40,2.6667,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
41,2.7333,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
42,2.8000,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
43,2.8667,0.000000,-1.400000,1.600000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
44,2.9333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.600972,-0.004241,-0.001449,0.501074
45,3.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.577947,-0.002827,-0.001449,0.501074
46,3.0667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.521153,-0.002827,-0.001449,0.501074
47,3.1333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.465895,-0.002827,-0.001449,0.501074
48,3.2000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.410636,-0.002827,-0.001449,0.501074
49,3.2667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.356912,-0.002827,-0.001449,0.501074
50,3.3333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.301653,-0.002827,-0.001449,0.501074
51,3.4000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.249464,-0.002827,-0.001449,0.501074
52,3.4667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.398917,1.221835,-0.002827,-0.001449,0.501074
53,3.5333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.400391,1.220300,-0.002827,-0.001449,0.501074
54,3.6000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.220300,-0.002827,-0.001449,0.501074
55,3.6667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
56,3.7333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
57,3.8000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
58,3.8667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
59,3.9333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
60,4.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
61,4.0667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
62,4.1333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
63,4.2000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
64,4.2667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
65,4.3333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.220300,-0.002827,-0.001449,0.501074
66,4.4000,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.217230,-0.002827,-0.001449,0.501074
67,4.4667,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.395969,1.178856,-0.002827,-0.001449,0.501074
68,4.5333,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.120527,-0.002827,-0.001449,0.501074
69,4.6000,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.065268,-0.002827,-0.001449,0.501074
70,4.6667,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.398917,1.010009,-0.002827,-0.001449,0.501074
71,4.7333,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.406287,0.956285,-0.002827,-0.001449,0.501074
72,4.8000,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.406287,0.899491,-0.002827,-0.001449,0.501074
73,4.8667,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.848837,-0.002827,-0.001449,0.501074
74,4.9333,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.816603,-0.004241,-0.001449,0.501074
75,5.0000,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
76,5.0667,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.001423,-1.404813,0.813533,-0.004241,-0.001449,0.501074
77,5.1333,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
78,5.2000,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
79,5.2667,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
80,5.3333,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
81,5.4000,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
82,5.4667,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
83,5.5333,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
84,5.6000,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
85,5.6667,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
86,5.7333,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
87,5.8000,0.000000,-1.400000,0.800000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.813533,-0.004241,-0.001449,0.501074
88,5.8667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.815068,-0.004241,-0.001449,0.501074
89,5.9333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.406287,0.845767,-0.004241,-0.001449,0.501074
90,6.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.401865,0.902561,-0.004241,-0.001449,0.501074
91,6.0667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.404813,0.957820,-0.004241,-0.001449,0.501074
92,6.1333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.404813,1.011544,-0.004241,-0.001449,0.501074
93,6.2000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.401865,1.065268,-0.004241,-0.001449,0.501074
94,6.2667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.398917,1.120527,-0.004241,-0.001449,0.501074
95,6.3333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.394495,1.172716,-0.004241,-0.001449,0.501074
96,6.4000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.394495,1.201880,-0.004241,-0.001449,0.501074
97,6.4667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.397443,1.201880,-0.004241,-0.001449,0.501074
98,6.5333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.395969,1.201880,-0.004241,-0.001449,0.501074
99,6.6000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.394495,1.204950,-0.004241,-0.001449,0.501074
100,6.6667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.395969,1.204950,-0.004241,-0.001449,0.501074
101,6.7333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.394495,1.204950,-0.004241,-0.001449,0.501074
102,6.8000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.397443,1.204950,-0.004241,-0.001449,0.501074
103,6.8667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.397443,1.204950,-0.004241,-0.001449,0.501074
104,6.9333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.397443,1.204950,-0.004241,-0.001449,0.501074
105,7.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.397443,1.204950,-0.004241,-0.001449,0.501074
106,7.0667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.397443,1.204950,-0.004241,-0.001449,0.501074
107,7.1333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.397443,1.204950,-0.004241,-0.001449,0.501074
108,7.2000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.397443,1.204950,-0.004241,-0.001449,0.501074
109,7.2667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.397443,1.204950,-0.004241,-0.001449,0.501074
