step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.394495,1.203415,-0.002827,-0.001450,0.505136
1,0.0667,0.000000,-1.397609,1.197951,0.000000,0.000000,0.500000,-0.014232,-1.394495,1.203415,-0.002827,-0.001450,0.505136
2,0.1333,0.000000,-1.390453,1.191817,0.000000,0.000000,0.500000,-0.014232,-1.394495,1.203415,-0.002827,-0.001450,0.505136
3,0.2000,0.000000,-1.378580,1.181640,0.000000,0.000000,0.500000,-0.014232,-1.394495,1.203415,-0.002827,-0.001450,0.505136
4,0.2667,0.000000,-1.362072,1.167490,0.000000,0.000000,0.500000,-0.014232,-1.385650,1.201880,-0.002827,-0.001450,0.505136
5,0.3333,0.000000,-1.341041,1.149464,0.000000,0.000000,0.500000,-0.014232,-1.370909,1.192670,-0.002827,-0.001450,0.505136
6,0.4000,0.000000,-1.315632,1.127684,0.000000,0.000000,0.500000,-0.014232,-1.359116,1.175786,-0.002827,-0.001450,0.505136
7,0.4667,0.000000,-1.286017,1.102300,0.000000,0.000000,0.500000,-0.014232,-1.337005,1.158901,-0.002827,-0.001450,0.505136
8,0.5333,0.000000,-1.252398,1.073484,0.000000,0.000000,0.500000,-0.014232,-1.316367,1.138946,-0.002827,-0.001450,0.505136
9,0.6000,0.000000,-1.215007,1.041434,0.000000,0.000000,0.500000,-0.014232,-1.291308,1.115922,-0.002827,-0.001450,0.505136
10,0.6667,0.000000,-1.174097,1.006369,0.000000,0.000000,0.500000,-0.014232,-1.264774,1.091362,-0.002827,-0.001450,0.505136
11,0.7333,0.000000,-1.129949,0.968528,0.000000,0.000000,0.500000,-0.014232,-1.233818,1.065268,-0.002827,-0.001450,0.505136
12,0.8000,0.000000,-1.082864,0.928169,0.000000,0.000000,0.500000,-0.014232,-1.201388,1.034569,-0.002827,-0.001450,0.505136
13,0.8667,0.000000,-1.033163,0.885568,0.000000,0.000000,0.500000,-0.014232,-1.166010,1.002334,-0.002827,-0.001450,0.505136
14,0.9333,0.000000,-0.981187,0.841017,0.000000,0.000000,0.500000,-0.014232,-1.127683,0.968565,-0.002827,-0.001450,0.505136
15,1.0000,0.000000,-0.927290,0.794820,0.000000,0.000000,0.500000,-0.014232,-1.086409,0.933261,-0.002827,-0.001450,0.505136
16,1.0667,0.000000,-0.871840,0.747291,0.000000,0.000000,0.500000,-0.014232,-1.045134,0.894886,-0.002827,-0.001450,0.505136
17,1.1333,0.000000,-0.815216,0.698757,0.000000,0.000000,0.500000,-0.014232,-0.999437,0.854977,-0.002827,-0.001450,0.505136
18,1.2000,0.000000,-0.757806,0.649548,0.000000,0.000000,0.500000,-0.014232,-0.955214,0.815068,-0.002827,-0.001450,0.505136
19,1.2667,0.000000,-0.700000,0.600000,0.000000,0.000000,0.500000,-0.014232,-0.906569,0.773624,-0.002827,-0.001450,0.505136
20,1.3333,0.000000,-0.642194,0.550452,0.000000,0.000000,0.500000,-0.014232,-0.856450,0.729110,-0.002827,-0.001450,0.505136
21,1.4000,0.000000,-0.584784,0.501243,0.000000,0.000000,0.500000,-0.014232,-0.806330,0.684596,-0.002827,-0.001450,0.505136
22,1.4667,0.000000,-0.528160,0.452709,0.000000,0.000000,0.500000,-0.014232,-0.754737,0.640082,-0.002827,-0.001450,0.505136
23,1.5333,0.000000,-0.472710,0.405180,0.000000,0.000000,0.500000,-0.014232,-0.703144,0.594033,-0.002827,-0.001450,0.505136
24,1.6000,0.000000,-0.418813,0.358983,0.000000,0.000000,0.500000,-0.014232,-0.651550,0.547984,-0.002827,-0.001450,0.505136
25,1.6667,0.000000,-0.366837,0.314432,0.000000,0.000000,0.500000,-0.014232,-0.598483,0.501935,-0.002827,-0.001450,0.505136
26,1.7333,0.000000,-0.317136,0.271831,0.000000,0.000000,0.500000,-0.014232,-0.543941,0.457421,-0.002827,-0.001450,0.505136
27,1.8000,0.000000,-0.270051,0.231472,0.000000,0.000000,0.500000,-0.014232,-0.492348,0.411371,-0.002827,-0.001450,0.505136
28,1.8667,0.000000,-0.225903,0.193631,0.000000,0.000000,0.500000,-0.014232,-0.439281,0.366857,-0.002827,-0.001450,0.505136
29,1.9333,0.000000,-0.184993,0.158566,0.000000,0.000000,0.500000,-0.014232,-0.387687,0.323878,-0.002827,-0.001450,0.505136
30,2.0000,0.000000,-0.147602,0.126516,0.000000,0.000000,0.500000,-0.014232,-0.339042,0.280899,-0.002827,-0.001450,0.505136
31,2.0667,0.000000,-0.113983,0.097700,0.000000,0.000000,0.500000,-0.014232,-0.290397,0.240990,-0.002827,-0.001450,0.505136
32,2.1333,0.000000,-0.084368,0.072316,0.000000,0.000000,0.500000,-0.014232,-0.243226,0.202616,-0.002827,-0.001450,0.505136
33,2.2000,0.000000,-0.058959,0.050536,0.000000,0.000000,0.500000,-0.014232,-0.199003,0.167312,-0.002827,-0.001450,0.505136
34,2.2667,0.000000,-0.037928,0.032510,0.000000,0.000000,0.500000,-0.014232,-0.157728,0.133542,-0.002827,-0.001450,0.505136
35,2.3333,0.000000,-0.021420,0.018360,0.000000,0.000000,0.500000,-0.014232,-0.117928,0.101308,-0.002827,-0.001450,0.505136
36,2.4000,0.000000,-0.009547,0.008183,0.000000,0.000000,0.500000,-0.014232,-0.084023,0.076748,-0.002827,-0.001450,0.505136
37,2.4667,0.000000,-0.002391,0.002049,0.000000,0.000000,0.500000,-0.014232,-0.053067,0.053724,-0.002827,-0.001450,0.505136
38,2.5333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,-0.029482,0.036839,-0.002827,-0.001450,0.505136
39,2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,-0.011793,0.026094,-0.002827,-0.001450,0.505136
40,2.6667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,-0.002948,0.024559,-0.002827,-0.001450,0.505136
41,2.7333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.004422,0.024559,-0.002827,-0.001450,0.505136
42,2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
43,2.8667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
44,2.9333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
45,3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
46,3.0667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
47,3.1333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
48,3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
49,3.2667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
50,3.3333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
51,3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
52,3.4667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
53,3.5333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
54,3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
55,3.6667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
56,3.7333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
57,3.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
58,3.8667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
59,3.9333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
60,4.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
61,4.0667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
62,4.1333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
63,4.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
64,4.2667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
65,4.3333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
66,4.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
67,4.4667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
68,4.5333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
69,4.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
70,4.6667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
71,4.7333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
72,4.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
73,4.8667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
74,4.9333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
75,5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
76,5.0667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
77,5.1333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
78,5.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
79,5.2667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
80,5.3333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
81,5.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
82,5.4667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
83,5.5333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
84,5.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
85,5.6667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
86,5.7333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
87,5.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
