step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
1,0.0667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
2,0.1333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
3,0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
4,0.2667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
5,0.3333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
6,0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
7,0.4667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
8,0.5333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
9,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
10,0.6667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
11,0.7333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
12,0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
13,0.8667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
14,0.9333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
15,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
16,1.0667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
17,1.1333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
18,1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
19,1.2667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
20,1.3333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
21,1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
22,1.4667,0.000000,0.000000,0.400000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
23,1.5333,0.000000,0.000000,0.400000,0.000000,0.000000,0.500000,-0.014232,0.005896,0.024559,-0.002827,-0.001450,0.505136
