step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
1,0.0667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
2,0.1333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
3,0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
4,0.2667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
5,0.3333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
6,0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
7,0.4667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
8,0.5333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
9,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
10,0.6667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
11,0.7333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
12,0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
13,0.8667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
14,0.9333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
15,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
16,1.0667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
17,1.1333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
18,1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
19,1.2667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
20,1.3333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
21,1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
22,1.4667,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.011793,0.006140,-0.002827,-0.001450,0.505136
23,1.5333,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.020637,0.006140,-0.002827,-0.001450,0.505136
24,1.6000,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.039801,0.006140,-0.002827,-0.001450,0.505136
25,1.6667,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.066334,0.006140,-0.002827,-0.001450,0.505136
26,1.7333,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.095816,0.006140,-0.002827,-0.001450,0.505136
27,1.8000,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.134143,0.006140,-0.002827,-0.001450,0.505136
28,1.8667,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.178366,0.006140,-0.002827,-0.001450,0.505136
29,1.9333,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.218166,0.006140,-0.002827,-0.001450,0.505136
30,2.0000,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.250596,0.006140,-0.002827,-0.001450,0.505136
31,2.0667,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.275656,0.006140,-0.002827,-0.001450,0.505136
32,2.1333,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.291871,0.006140,-0.002827,-0.001450,0.505136
33,2.2000,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.303664,0.006140,-0.002827,-0.001450,0.505136
34,2.2667,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
35,2.3333,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
36,2.4000,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
37,2.4667,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
38,2.5333,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
39,2.6000,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
40,2.6667,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
41,2.7333,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
42,2.8000,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
43,2.8667,0.000000,0.300000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
44,2.9333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
45,3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
46,3.0667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.305138,0.006140,-0.002827,-0.001450,0.505136
47,3.1333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.288923,0.006140,-0.002827,-0.001450,0.505136
48,3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.255019,0.006140,-0.002827,-0.001450,0.505136
49,3.2667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.215218,0.006140,-0.002827,-0.001450,0.505136
50,3.3333,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.169521,0.006140,-0.002827,-0.001450,0.505136
51,3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.129720,0.006140,-0.002827,-0.001450,0.505136
52,3.4667,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.014232,0.095816,0.006140,-0.002827,-0.001450,0.505136
