step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.215695,-0.002827,-0.001449,0.501074
1,0.0667,0.000000,-1.400000,1.172097,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.212625,-0.002827,-0.001449,0.501074
2,0.1333,0.000000,-1.400000,1.144331,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.186530,-0.002827,-0.001449,0.501074
3,0.2000,0.000000,-1.400000,1.116835,0.000000,0.000000,0.500000,-0.002846,-1.400391,1.154296,-0.002827,-0.001449,0.501074
4,0.2667,0.000000,-1.400000,1.089745,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.128202,-0.002827,-0.001449,0.501074
5,0.3333,0.000000,-1.400000,1.063192,0.000000,0.000000,0.500000,-0.002846,-1.398917,1.100572,-0.002827,-0.001449,0.501074
6,0.4000,0.000000,-1.400000,1.037305,0.000000,0.000000,0.500000,-0.002846,-1.401865,1.074478,-0.002827,-0.001449,0.501074
7,0.4667,0.000000,-1.400000,1.012211,0.000000,0.000000,0.500000,-0.002846,-1.403339,1.048383,-0.002827,-0.001449,0.501074
8,0.5333,0.000000,-1.400000,0.988032,0.000000,0.000000,0.500000,-0.002846,-1.406287,1.022289,-0.002827,-0.001449,0.501074
9,0.6000,0.000000,-1.400000,0.964886,0.000000,0.000000,0.500000,-0.002846,-1.406287,0.997729,-0.002827,-0.001449,0.501074
10,0.6667,0.000000,-1.400000,0.942885,0.000000,0.000000,0.500000,-0.002846,-1.403339,0.976240,-0.002827,-0.001449,0.501074
11,0.7333,0.000000,-1.400000,0.922137,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.951680,-0.002827,-0.001449,0.501074
12,0.8000,0.000000,-1.400000,0.902742,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.931726,-0.002827,-0.001449,0.501074
13,0.8667,0.000000,-1.400000,0.884796,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.911771,-0.002827,-0.001449,0.501074
14,0.9333,0.000000,-1.400000,0.868385,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.893351,-0.002827,-0.001449,0.501074
15,1.0000,0.000000,-1.400000,0.853590,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.878002,-0.002827,-0.001449,0.501074
16,1.0667,0.000000,-1.400000,0.840482,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.862652,-0.002827,-0.001449,0.501074
17,1.1333,0.000000,-1.400000,0.829126,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.850372,-0.002827,-0.001449,0.501074
18,1.2000,0.000000,-1.400000,0.819577,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.838093,-0.002827,-0.001449,0.501074
19,1.2667,0.000000,-1.400000,0.811882,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.830418,-0.002827,-0.001449,0.501074
20,1.3333,0.000000,-1.400000,0.806077,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.822743,-0.002827,-0.001449,0.501074
21,1.4000,0.000000,-1.400000,0.802191,0.000000,0.000000,0.500000,-0.002846,-1.404813,0.819673,-0.002827,-0.001449,0.501074
