step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.501074
1,0.0667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.465122,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.497013
2,0.1333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.430413,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.463165
3,0.2000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.396044,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.427963
4,0.2667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.362181,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.392761
5,0.3333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.328990,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.357559
6,0.4000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.296632,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.325064
7,0.4667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.265264,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.293924
8,0.5333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.235040,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.261430
9,0.6000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.206107,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.231644
10,0.6667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.178606,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.201857
11,0.7333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.152671,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.174779
12,0.8000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.128428,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.147701
13,0.8667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.105995,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.123330
14,0.9333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.085481,-0.002846,-1.397443,1.221835,-0.002827,-0.001449,0.100313
