step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,0.011385,-1.394495,1.223370,0.005654,0.000024,0.509198
1,0.0667,0.000000,-1.420927,1.200000,0.000000,0.000000,0.500000,0.011385,-1.397443,1.223370,0.005654,0.000024,0.509198
2,0.1333,0.000000,-1.441752,1.200000,0.000000,0.000000,0.500000,0.011385,-1.416606,1.223370,0.005654,0.000024,0.509198
3,0.2000,0.000000,-1.462374,1.200000,0.000000,0.000000,0.500000,0.011385,-1.437243,1.223370,0.005654,0.000024,0.509198
4,0.2667,0.000000,-1.482691,1.200000,0.000000,0.000000,0.500000,0.011385,-1.457881,1.223370,0.005654,0.000024,0.509198
5,0.3333,0.000000,-1.502606,1.200000,0.000000,0.000000,0.500000,0.011385,-1.478518,1.223370,0.005654,0.000024,0.509198
6,0.4000,0.000000,-1.522021,1.200000,0.000000,0.000000,0.500000,0.011385,-1.499155,1.223370,0.005654,0.000024,0.509198
7,0.4667,0.000000,-1.540841,1.200000,0.000000,0.000000,0.500000,0.011385,-1.519793,1.223370,0.005654,0.000024,0.509198
8,0.5333,0.000000,-1.558976,1.200000,0.000000,0.000000,0.500000,0.011385,-1.540430,1.223370,0.005654,0.000024,0.509198
9,0.6000,0.000000,-1.576336,1.200000,0.000000,0.000000,0.500000,0.011385,-1.562541,1.223370,0.005654,0.000024,0.509198
10,0.6667,0.000000,-1.592836,1.200000,0.000000,0.000000,0.500000,0.011385,-1.574334,1.223370,0.005654,0.000024,0.509198
11,0.7333,0.000000,-1.608398,1.200000,0.000000,0.000000,0.500000,0.011385,-1.589075,1.220300,0.005654,0.000024,0.509198
