step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.394495,1.221835,-0.001414,-0.001449,0.497013
1,0.0667,-0.069756,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.394495,1.221835,-0.001414,-0.001449,0.497013
2,0.1333,-0.139173,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.037002,-1.394495,1.221835,-0.001414,-0.004346,0.497013
3,0.2000,-0.207912,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.088237,-1.394495,1.221835,-0.001414,-0.001449,0.497013
4,0.2667,-0.275637,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.139471,-1.394495,1.221835,-0.001414,-0.005795,0.497013
5,0.3333,-0.342020,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.187859,-1.394495,1.221835,-0.001414,0.001449,0.497013
6,0.4000,-0.406737,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.237670,-1.394495,1.221835,-0.001414,-0.002897,0.497013
7,0.4667,-0.469472,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.287481,-1.394495,1.221835,-0.001414,0.001449,0.497013
8,0.5333,-0.529919,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.340138,-1.394495,1.221835,-0.001414,-0.002897,0.497013
9,0.6000,-0.587785,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.384257,-1.394495,1.221835,-0.001414,0.001449,0.497013
10,0.6667,-0.642788,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.444030,-1.395969,1.221835,-0.001414,0.001449,0.497013
11,0.7333,-0.694658,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.483879,-1.397443,1.221835,-0.001414,0.001449,0.497013
12,0.8000,-0.743145,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.546498,-1.397443,1.221835,-0.001414,0.001449,0.497013
13,0.8667,-0.788011,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.583501,-1.397443,1.221835,-0.001414,0.001449,0.497013
14,0.9333,-0.829038,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.647544,-1.397443,1.221835,-0.001414,0.001449,0.497013
15,1.0000,-0.866025,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.684546,-1.398917,1.221835,-0.001414,-0.001449,0.497013
16,1.0667,-0.898794,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.750012,-1.395969,1.221835,-0.001414,0.001449,0.497013
17,1.1333,-0.927184,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.785591,-1.397443,1.221835,-0.001414,-0.002897,0.497013
18,1.2000,-0.951057,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.845365,-1.397443,1.221835,-0.001414,0.001449,0.497013
19,1.2667,-0.970296,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.886637,-1.397443,1.221835,-0.001414,-0.002897,0.497013
20,1.3333,-0.984808,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.939294,-1.397443,1.221835,-0.001414,0.001449,0.497013
21,1.4000,-0.994522,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.976296,-1.397443,1.221835,-0.001414,-0.002897,0.497013
22,1.4667,-0.999391,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.991951,-1.397443,1.221835,-0.001414,0.001449,0.497013
23,1.5333,-0.999391,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.996221,-1.397443,1.221835,-0.001414,-0.002897,0.497013
24,1.6000,-0.994522,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.999067,-1.397443,1.221835,-0.001414,0.001449,0.497013
25,1.6667,-0.984808,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.993375,-1.397443,1.221835,-0.001414,-0.002897,0.497013
26,1.7333,-0.970296,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.981989,-1.397443,1.221835,-0.001414,0.001449,0.497013
27,1.8000,-0.951057,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.969181,-1.397443,1.221835,-0.001414,-0.001449,0.497013
28,1.8667,-0.927184,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.947833,-1.397443,1.221835,-0.001414,0.001449,0.497013
29,1.9333,-0.898794,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.926485,-1.397443,1.221835,-0.001414,-0.002897,0.497013
30,2.0000,-0.866025,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.898022,-1.397443,1.221835,-0.001414,0.001449,0.497013
31,2.0667,-0.829038,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.869559,-1.397443,1.221835,-0.001414,-0.002897,0.497013
32,2.1333,-0.788011,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.828287,-1.397443,1.221835,-0.001414,-0.001449,0.497013
33,2.2000,-0.743145,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.796977,-1.397443,1.221835,-0.001414,-0.002897,0.497013
