step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.395969,1.221835,-0.001414,0.001449,0.497013
1,0.0667,0.000000,-1.400000,1.200000,-0.062781,0.000000,0.500000,-0.001423,-1.395969,1.221835,-0.001414,0.001449,0.497013
2,0.1333,0.000000,-1.400000,1.200000,-0.125256,0.000000,0.500000,-0.001423,-1.395969,1.221835,-0.035338,0.001449,0.497013
3,0.2000,0.000000,-1.400000,1.200000,-0.187121,0.000000,0.500000,-0.001423,-1.395969,1.221835,-0.086225,0.001449,0.497013
4,0.2667,0.000000,-1.400000,1.200000,-0.248074,0.000000,0.500000,-0.001423,-1.395969,1.221835,-0.137112,0.001449,0.497013
5,0.3333,0.000000,-1.400000,1.200000,-0.307818,0.000000,0.500000,-0.001423,-1.395969,1.221835,-0.186585,0.001449,0.497013
6,0.4000,0.000000,-1.400000,1.200000,-0.366063,0.000000,0.500000,-0.001423,-1.395969,1.221835,-0.237472,0.001449,0.497013
7,0.4667,0.000000,-1.400000,1.200000,-0.422524,0.000000,0.500000,-0.001423,-1.395969,1.221835,-0.286945,0.001449,0.497013
8,0.5333,0.000000,-1.400000,1.200000,-0.476927,0.000000,0.500000,-0.001423,-1.397443,1.221835,-0.336419,0.001449,0.497013
9,0.6000,0.000000,-1.400000,1.200000,-0.529007,0.000000,0.500000,-0.001423,-1.397443,1.221835,-0.385892,0.001449,0.497013
10,0.6667,0.000000,-1.400000,1.200000,-0.578509,0.000000,0.500000,-0.001423,-1.397443,1.221835,-0.435365,0.001449,0.497013
11,0.7333,0.000000,-1.400000,1.200000,-0.625193,0.000000,0.500000,-0.001423,-1.398917,1.221835,-0.484839,0.001449,0.497013
12,0.8000,0.000000,-1.400000,1.200000,-0.668830,0.000000,0.500000,-0.001423,-1.401865,1.221835,-0.535725,0.001449,0.497013
13,0.8667,0.000000,-1.400000,1.200000,-0.709210,0.000000,0.500000,-0.001423,-1.406287,1.221835,-0.585199,0.001449,0.497013
14,0.9333,0.000000,-1.400000,1.200000,-0.746134,0.000000,0.500000,-0.001423,-1.406287,1.220300,-0.633259,0.001449,0.497013
15,1.0000,0.000000,-1.400000,1.200000,-0.779423,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.684145,0.001449,0.497013
16,1.0667,0.000000,-1.400000,1.200000,-0.808915,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.733619,0.001449,0.497013
17,1.1333,0.000000,-1.400000,1.200000,-0.834465,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.783092,0.001449,0.497013
18,1.2000,0.000000,-1.400000,1.200000,-0.855951,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.826911,0.001449,0.497013
19,1.2667,0.000000,-1.400000,1.200000,-0.873266,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.858009,0.001449,0.497013
20,1.3333,0.000000,-1.400000,1.200000,-0.886327,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.876385,0.001449,0.497013
21,1.4000,0.000000,-1.400000,1.200000,-0.895070,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.889106,0.001449,0.497013
22,1.4667,0.000000,-1.400000,1.200000,-0.899452,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.896174,0.001449,0.497013
23,1.5333,0.000000,-1.400000,1.200000,-0.899452,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.896174,0.001449,0.497013
24,1.6000,0.000000,-1.400000,1.200000,-0.895070,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.896174,0.001449,0.497013
25,1.6667,0.000000,-1.400000,1.200000,-0.886327,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.891933,0.001449,0.497013
26,1.7333,0.000000,-1.400000,1.200000,-0.873266,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.882039,0.001449,0.497013
27,1.8000,0.000000,-1.400000,1.200000,-0.855951,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.870730,0.001449,0.497013
28,1.8667,0.000000,-1.400000,1.200000,-0.834465,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.852355,0.001449,0.497013
29,1.9333,0.000000,-1.400000,1.200000,-0.808915,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.828325,0.001449,0.497013
30,2.0000,0.000000,-1.400000,1.200000,-0.779423,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.804295,0.001449,0.497013
31,2.0667,0.000000,-1.400000,1.200000,-0.746134,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.774611,0.001449,0.497013
32,2.1333,0.000000,-1.400000,1.200000,-0.709210,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.743513,0.001449,0.497013
33,2.2000,0.000000,-1.400000,1.200000,-0.668830,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.708175,0.001449,0.497013
34,2.2667,0.000000,-1.400000,1.200000,-0.625193,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.668597,0.001449,0.497013
35,2.3333,0.000000,-1.400000,1.200000,-0.578509,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.626191,0.001449,0.497013
36,2.4000,0.000000,-1.400000,1.200000,-0.529007,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.580958,0.001449,0.497013
37,2.4667,0.000000,-1.400000,1.200000,-0.476927,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.532898,0.001449,0.497013
38,2.5333,0.000000,-1.400000,1.200000,-0.422524,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.484839,0.001449,0.497013
39,2.6000,0.000000,-1.400000,1.200000,-0.366063,0.000000,0.500000,-0.001423,-1.404813,1.220300,-0.435365,0.001449,0.497013
40,2.6667,0.000000,-1.400000,1.200000,-0.307818,0.000000,0.500000,-0.001423,-1.403339,1.220300,-0.387305,0.001449,0.497013
41,2.7333,0.000000,-1.400000,1.200000,-0.248074,0.000000,0.500000,-0.001423,-1.398917,1.220300,-0.337832,0.001449,0.497013
42,2.8000,0.000000,-1.400000,1.200000,-0.187121,0.000000,0.500000,-0.001423,-1.395969,1.220300,-0.286945,0.001449,0.497013
43,2.8667,0.000000,-1.400000,1.200000,-0.125256,0.000000,0.500000,-0.001423,-1.393020,1.220300,-0.238885,0.001449,0.497013
44,2.9333,0.000000,-1.400000,1.200000,-0.062781,0.000000,0.500000,-0.001423,-1.398917,1.220300,-0.187999,0.001449,0.497013
45,3.0000,0.000000,-1.400000,1.200000,-0.000000,0.000000,0.500000,-0.001423,-1.398917,1.220300,-0.138525,0.001449,0.497013
46,3.0667,0.000000,-1.400000,1.200000,0.062781,0.000000,0.500000,-0.001423,-1.397443,1.220300,-0.090466,0.001449,0.497013
47,3.1333,0.000000,-1.400000,1.200000,0.125256,0.000000,0.500000,-0.001423,-1.397443,1.220300,-0.040992,0.001449,0.497013
48,3.2000,0.000000,-1.400000,1.200000,0.187121,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.009895,0.001449,0.497013
49,3.2667,0.000000,-1.400000,1.200000,0.248074,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.059368,0.001449,0.497013
50,3.3333,0.000000,-1.400000,1.200000,0.307818,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.108841,0.001449,0.497013
51,3.4000,0.000000,-1.400000,1.200000,0.366063,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.158315,0.001449,0.497013
52,3.4667,0.000000,-1.400000,1.200000,0.422524,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.207788,0.001449,0.497013
53,3.5333,0.000000,-1.400000,1.200000,0.476927,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.257261,0.001449,0.497013
54,3.6000,0.000000,-1.400000,1.200000,0.529007,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.305321,0.001449,0.497013
55,3.6667,0.000000,-1.400000,1.200000,0.578509,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.356208,0.001449,0.497013
56,3.7333,0.000000,-1.400000,1.200000,0.625193,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.405681,0.001449,0.497013
57,3.8000,0.000000,-1.400000,1.200000,0.668830,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.455155,0.001449,0.497013
58,3.8667,0.000000,-1.400000,1.200000,0.709210,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.504628,0.001449,0.497013
59,3.9333,0.000000,-1.400000,1.200000,0.746134,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.554101,0.001449,0.497013
60,4.0000,0.000000,-1.400000,1.200000,0.779423,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.603575,0.001449,0.497013
61,4.0667,0.000000,-1.400000,1.200000,0.808915,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.653048,0.001449,0.497013
62,4.1333,0.000000,-1.400000,1.200000,0.834465,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.701108,0.001449,0.497013
63,4.2000,0.000000,-1.400000,1.200000,0.855951,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.750581,0.001449,0.497013
64,4.2667,0.000000,-1.400000,1.200000,0.873266,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.801468,0.001449,0.497013
65,4.3333,0.000000,-1.400000,1.200000,0.886327,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.849528,0.001449,0.497013
66,4.4000,0.000000,-1.400000,1.200000,0.895070,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.883452,0.001449,0.497013
67,4.4667,0.000000,-1.400000,1.200000,0.899452,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.896174,0.001449,0.497013
68,4.5333,0.000000,-1.400000,1.200000,0.899452,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.897587,0.001449,0.497013
69,4.6000,0.000000,-1.400000,1.200000,0.895070,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.897587,0.001449,0.497013
70,4.6667,0.000000,-1.400000,1.200000,0.886327,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.894760,0.001449,0.497013
71,4.7333,0.000000,-1.400000,1.200000,0.873266,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.886279,0.001449,0.497013
72,4.8000,0.000000,-1.400000,1.200000,0.855951,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.872144,0.001449,0.497013
73,4.8667,0.000000,-1.400000,1.200000,0.834465,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.855182,0.001449,0.497013
74,4.9333,0.000000,-1.400000,1.200000,0.808915,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.831152,0.001449,0.497013
75,5.0000,0.000000,-1.400000,1.200000,0.779423,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.805708,0.001449,0.497013
76,5.0667,0.000000,-1.400000,1.200000,0.746134,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.777438,0.001449,0.497013
77,5.1333,0.000000,-1.400000,1.200000,0.709210,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.746340,0.001449,0.497013
78,5.2000,0.000000,-1.400000,1.200000,0.668830,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.711002,0.001449,0.497013
79,5.2667,0.000000,-1.400000,1.200000,0.625193,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.671424,0.001449,0.497013
80,5.3333,0.000000,-1.400000,1.200000,0.578509,0.000000,0.500000,-0.001423,-1.397443,1.220300,0.630431,0.001449,0.497013
