step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.001423,-1.395969,1.221835,0.007068,0.001449,0.497013
1,0.0667,0.000000,-1.400000,1.200000,0.000000,-0.104635,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.005795,0.497013
2,0.1333,0.000000,-1.400000,1.200000,0.000000,-0.208760,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.040564,0.497013
3,0.2000,0.000000,-1.400000,1.200000,0.000000,-0.311868,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.091268,0.497013
4,0.2667,0.000000,-1.400000,1.200000,0.000000,-0.413456,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.143422,0.497013
5,0.3333,0.000000,-1.400000,1.200000,0.000000,-0.513030,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.194126,0.497013
6,0.4000,0.000000,-1.400000,1.200000,0.000000,-0.610105,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.247729,0.497013
7,0.4667,0.000000,-1.400000,1.200000,0.000000,-0.704207,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.298433,0.497013
8,0.5333,0.000000,-1.400000,1.200000,0.000000,-0.794879,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.347689,0.497013
9,0.6000,0.000000,-1.400000,1.200000,0.000000,-0.881678,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.398394,0.497013
10,0.6667,0.000000,-1.400000,1.200000,0.000000,-0.964181,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.450547,0.497013
11,0.7333,0.000000,-1.400000,1.200000,0.000000,-1.041988,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.499803,0.497013
12,0.8000,0.000000,-1.400000,1.200000,0.000000,-1.114717,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.551957,0.497013
13,0.8667,0.000000,-1.400000,1.200000,0.000000,-1.182016,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.601213,0.497013
14,0.9333,0.000000,-1.400000,1.200000,0.000000,-1.243556,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.651917,0.497013
15,1.0000,0.000000,-1.400000,1.200000,0.000000,-1.299038,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.702622,0.497013
16,1.0667,0.000000,-1.400000,1.200000,0.000000,-1.348191,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.753327,0.497013
17,1.1333,0.000000,-1.400000,1.200000,0.000000,-1.390776,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.804031,0.497013
18,1.2000,0.000000,-1.400000,1.200000,0.000000,-1.426585,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.854736,0.497013
19,1.2667,0.000000,-1.400000,1.200000,0.000000,-1.455444,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.905441,0.497013
20,1.3333,0.000000,-1.400000,1.200000,0.000000,-1.477212,0.500000,-0.001423,-1.395969,1.221835,0.007068,-0.956145,0.497013
21,1.4000,0.000000,-1.400000,1.200000,0.000000,-1.491783,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.006850,0.497013
22,1.4667,0.000000,-1.400000,1.200000,0.000000,-1.499086,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.059003,0.497013
23,1.5333,0.000000,-1.400000,1.200000,0.000000,-1.499086,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.109708,0.497013
24,1.6000,0.000000,-1.400000,1.200000,0.000000,-1.491783,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.158964,0.497013
25,1.6667,0.000000,-1.400000,1.200000,0.000000,-1.477212,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.211117,0.497013
26,1.7333,0.000000,-1.400000,1.200000,0.000000,-1.455444,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.260373,0.497013
27,1.8000,0.000000,-1.400000,1.200000,0.000000,-1.426585,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.312527,0.497013
28,1.8667,0.000000,-1.400000,1.200000,0.000000,-1.390776,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.358885,0.497013
29,1.9333,0.000000,-1.400000,1.200000,0.000000,-1.348191,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.387859,0.497013
30,2.0000,0.000000,-1.400000,1.200000,0.000000,-1.299038,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.376270,0.497013
31,2.0667,0.000000,-1.400000,1.200000,0.000000,-1.243556,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.331360,0.497013
32,2.1333,0.000000,-1.400000,1.200000,0.000000,-1.182016,0.500000,-0.001423,-1.395969,1.221835,0.007068,-1.270514,0.497013
